START_POSITION,FG_PCT,REB,AST,STL,BLK,PTS
1.0,0.3,5.0,2.0,1.0,1.0,13.0
1.0,0.25,8.0,2.0,0.0,1.0,4.0
2.0,0.6,7.0,0.0,0.0,1.0,12.0
3.0,0.3,5.0,3.0,2.0,0.0,7.0
3.0,0.5,1.0,5.0,0.0,0.0,28.0
4.0,0.294,3.0,2.0,0.0,0.0,16.0
4.0,0.333,9.0,0.0,1.0,0.0,8.0
4.0,0.286,4.0,4.0,3.0,0.0,7.0
4.0,0.2,5.0,1.0,0.0,0.0,2.0
1.0,0.458,5.0,1.0,0.0,1.0,26.0
1.0,1.0,7.0,0.0,2.0,1.0,4.0
2.0,0.75,6.0,4.0,0.0,2.0,22.0
3.0,0.4,4.0,7.0,2.0,1.0,17.0
3.0,0.417,6.0,7.0,1.0,3.0,14.0
4.0,0.2,2.0,0.0,1.0,0.0,4.0
4.0,0.6,3.0,0.0,1.0,0.0,7.0
4.0,0.75,2.0,0.0,0.0,2.0,8.0
4.0,0.5,0.0,0.0,1.0,0.0,5.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.462,8.0,2.0,1.0,0.0,16.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0
2.0,0.25,14.0,0.0,0.0,1.0,10.0
3.0,0.429,3.0,2.0,1.0,0.0,21.0
3.0,0.462,5.0,5.0,1.0,1.0,15.0
4.0,0.5,5.0,2.0,2.0,0.0,10.0
4.0,0.333,2.0,0.0,0.0,1.0,7.0
4.0,0.5,3.0,1.0,0.0,0.0,6.0
4.0,0.0,2.0,3.0,0.0,0.0,0.0
4.0,0.25,0.0,0.0,1.0,0.0,3.0
4.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,0.636,8.0,2.0,0.0,1.0,34.0
1.0,0.3,8.0,0.0,0.0,0.0,7.0
2.0,0.333,9.0,1.0,2.0,1.0,8.0
3.0,0.5,11.0,2.0,0.0,1.0,14.0
3.0,0.333,7.0,9.0,4.0,1.0,15.0
4.0,0.5,1.0,0.0,2.0,0.0,7.0
4.0,0.5,4.0,0.0,1.0,0.0,3.0
4.0,0.167,2.0,1.0,1.0,1.0,2.0
4.0,0.0,2.0,2.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.667,3.0,0.0,0.0,1.0,6.0
4.0,0.667,1.0,1.0,0.0,0.0,5.0
1.0,0.5,7.0,1.0,0.0,0.0,9.0
1.0,0.35,8.0,7.0,1.0,2.0,21.0
2.0,0.5,13.0,3.0,1.0,0.0,3.0
3.0,0.391,2.0,4.0,2.0,0.0,22.0
3.0,0.444,9.0,9.0,0.0,0.0,18.0
4.0,0.167,5.0,2.0,0.0,0.0,2.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.625,3.0,1.0,1.0,0.0,13.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.571,2.0,1.0,0.0,0.0,10.0
1.0,0.364,4.0,2.0,3.0,1.0,10.0
1.0,0.364,1.0,0.0,2.0,1.0,14.0
2.0,0.692,13.0,2.0,0.0,1.0,19.0
3.0,0.524,9.0,0.0,0.0,0.0,24.0
3.0,0.167,4.0,14.0,0.0,0.0,7.0
4.0,0.167,3.0,4.0,1.0,0.0,4.0
4.0,0.667,6.0,2.0,0.0,0.0,6.0
4.0,0.8,6.0,0.0,0.0,3.0,10.0
4.0,0.5,3.0,3.0,0.0,1.0,11.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.333,10.0,9.0,2.0,2.0,12.0
1.0,0.368,4.0,5.0,1.0,2.0,22.0
2.0,0.5,4.0,0.0,0.0,1.0,6.0
3.0,0.55,6.0,2.0,0.0,1.0,30.0
3.0,0.538,4.0,4.0,2.0,2.0,17.0
4.0,1.0,2.0,0.0,1.0,0.0,8.0
4.0,0.667,1.0,1.0,0.0,0.0,6.0
4.0,0.429,3.0,1.0,1.0,1.0,6.0
4.0,0.0,1.0,1.0,0.0,0.0,0.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.545,2.0,2.0,1.0,0.0,18.0
1.0,0.571,3.0,3.0,3.0,2.0,10.0
2.0,0.615,12.0,1.0,1.0,1.0,18.0
3.0,0.286,3.0,5.0,0.0,0.0,9.0
3.0,0.333,4.0,10.0,1.0,1.0,22.0
4.0,0.333,1.0,2.0,1.0,0.0,6.0
4.0,0.0,1.0,0.0,0.0,0.0,4.0
4.0,0.143,7.0,0.0,0.0,0.0,6.0
4.0,0.667,9.0,3.0,3.0,1.0,16.0
4.0,0.5,2.0,0.0,0.0,0.0,3.0
1.0,0.636,2.0,1.0,0.0,1.0,19.0
1.0,0.833,6.0,8.0,1.0,0.0,11.0
2.0,0.5,4.0,0.0,0.0,2.0,4.0
3.0,0.462,4.0,4.0,0.0,1.0,17.0
3.0,0.632,7.0,5.0,2.0,1.0,37.0
4.0,1.0,5.0,2.0,1.0,0.0,6.0
4.0,0.0,2.0,1.0,0.0,0.0,0.0
4.0,0.5,4.0,2.0,0.0,1.0,5.0
4.0,0.333,6.0,0.0,0.0,0.0,6.0
4.0,0.5,6.0,1.0,0.0,1.0,7.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.25,6.0,1.0,0.0,0.0,5.0
4.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.316,5.0,3.0,0.0,0.0,19.0
1.0,0.75,5.0,3.0,3.0,0.0,14.0
2.0,0.0,2.0,1.0,1.0,0.0,4.0
3.0,0.375,2.0,4.0,1.0,0.0,8.0
3.0,0.462,4.0,4.0,0.0,0.0,24.0
4.0,0.5,5.0,1.0,2.0,1.0,9.0
4.0,0.25,1.0,1.0,2.0,0.0,3.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.333,1.0,1.0,1.0,0.0,2.0
4.0,0.222,2.0,3.0,2.0,0.0,4.0
4.0,0.4,7.0,0.0,0.0,1.0,4.0
4.0,0.5,3.0,0.0,0.0,0.0,8.0
1.0,0.368,3.0,4.0,0.0,0.0,18.0
1.0,0.444,4.0,5.0,0.0,2.0,12.0
2.0,0.5,6.0,1.0,1.0,1.0,6.0
3.0,0.125,1.0,2.0,2.0,0.0,5.0
3.0,0.5,4.0,2.0,0.0,0.0,16.0
4.0,0.5,3.0,0.0,2.0,0.0,7.0
4.0,0.167,5.0,3.0,0.0,1.0,6.0
4.0,0.273,8.0,2.0,0.0,0.0,8.0
4.0,1.0,4.0,0.0,0.0,1.0,5.0
4.0,0.333,4.0,0.0,0.0,0.0,2.0
1.0,0.75,6.0,2.0,0.0,0.0,27.0
1.0,0.5,9.0,1.0,1.0,1.0,3.0
2.0,0.6,17.0,1.0,0.0,4.0,15.0
3.0,0.417,3.0,3.0,1.0,1.0,13.0
3.0,0.625,2.0,7.0,0.0,0.0,13.0
4.0,0.625,5.0,0.0,0.0,2.0,10.0
4.0,0.167,3.0,7.0,1.0,0.0,3.0
4.0,0.4,7.0,1.0,0.0,0.0,20.0
4.0,0.667,1.0,4.0,0.0,0.0,7.0
4.0,0.333,1.0,0.0,1.0,0.0,2.0
4.0,1.0,1.0,0.0,0.0,0.0,2.0
4.0,0.333,0.0,1.0,1.0,0.0,3.0
4.0,1.0,1.0,0.0,0.0,0.0,2.0
1.0,0.444,5.0,3.0,1.0,1.0,10.0
1.0,0.3,3.0,2.0,1.0,0.0,7.0
2.0,0.429,10.0,1.0,0.0,1.0,8.0
3.0,0.571,12.0,9.0,3.0,0.0,26.0
3.0,0.571,3.0,3.0,1.0,0.0,19.0
4.0,0.455,4.0,5.0,2.0,0.0,10.0
4.0,0.25,1.0,0.0,1.0,1.0,2.0
4.0,0.2,2.0,3.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.5,1.0,0.0,1.0,0.0,6.0
1.0,0.417,9.0,4.0,2.0,0.0,34.0
1.0,0.0,1.0,2.0,0.0,0.0,0.0
2.0,0.429,13.0,1.0,1.0,0.0,8.0
3.0,0.417,6.0,0.0,3.0,0.0,11.0
3.0,0.364,6.0,4.0,0.0,2.0,21.0
4.0,0.6,7.0,2.0,0.0,0.0,7.0
4.0,0.333,2.0,2.0,0.0,1.0,5.0
4.0,0.571,4.0,1.0,1.0,0.0,13.0
4.0,1.0,4.0,0.0,1.0,0.0,7.0
4.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.35,8.0,5.0,1.0,2.0,23.0
1.0,0.7,9.0,3.0,0.0,2.0,17.0
2.0,0.0,6.0,0.0,0.0,0.0,0.0
3.0,0.462,4.0,5.0,2.0,0.0,14.0
3.0,0.455,2.0,3.0,1.0,0.0,14.0
4.0,0.571,4.0,1.0,1.0,0.0,11.0
4.0,0.0,3.0,2.0,2.0,0.0,1.0
4.0,0.667,5.0,1.0,0.0,2.0,9.0
4.0,0.333,3.0,1.0,0.0,0.0,4.0
4.0,0.0,0.0,2.0,0.0,0.0,0.0
4.0,0.667,2.0,0.0,0.0,0.0,5.0
1.0,0.5,5.0,3.0,3.0,0.0,12.0
1.0,0.0,8.0,0.0,0.0,0.0,0.0
2.0,0.0,9.0,5.0,0.0,2.0,1.0
3.0,0.4,1.0,2.0,1.0,0.0,17.0
3.0,0.45,6.0,2.0,0.0,0.0,28.0
4.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,0.588,2.0,5.0,2.0,0.0,26.0
4.0,1.0,0.0,0.0,0.0,1.0,2.0
4.0,0.286,9.0,1.0,0.0,0.0,6.0
1.0,0.545,10.0,0.0,2.0,1.0,16.0
1.0,0.5,6.0,1.0,1.0,0.0,15.0
2.0,0.9,9.0,1.0,0.0,0.0,19.0
3.0,0.636,2.0,10.0,2.0,1.0,17.0
3.0,0.421,6.0,9.0,3.0,0.0,19.0
4.0,0.25,8.0,1.0,0.0,1.0,4.0
4.0,0.571,2.0,2.0,1.0,0.0,22.0
4.0,0.5,0.0,7.0,2.0,1.0,7.0
4.0,0.333,3.0,0.0,0.0,1.0,7.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,3.0
1.0,0.529,4.0,3.0,2.0,0.0,28.0
1.0,0.3,1.0,1.0,0.0,0.0,7.0
2.0,0.364,15.0,1.0,0.0,0.0,8.0
3.0,0.0,5.0,3.0,1.0,1.0,0.0
3.0,0.5,8.0,8.0,2.0,0.0,25.0
4.0,0.2,1.0,0.0,0.0,0.0,2.0
4.0,0.0,2.0,3.0,0.0,0.0,4.0
4.0,0.2,1.0,0.0,0.0,1.0,3.0
4.0,0.5,0.0,0.0,1.0,0.0,8.0
4.0,0.5,2.0,1.0,0.0,0.0,6.0
4.0,0.5,7.0,1.0,0.0,0.0,5.0
4.0,0.5,0.0,1.0,0.0,0.0,4.0
4.0,0.75,1.0,1.0,1.0,0.0,7.0
1.0,0.231,12.0,5.0,1.0,0.0,13.0
1.0,0.391,5.0,4.0,0.0,0.0,31.0
2.0,0.5,9.0,3.0,0.0,1.0,16.0
3.0,0.167,4.0,4.0,1.0,0.0,4.0
3.0,0.444,2.0,2.0,0.0,0.0,14.0
4.0,0.5,2.0,0.0,0.0,1.0,4.0
4.0,0.0,0.0,2.0,0.0,0.0,0.0
4.0,0.4,6.0,0.0,0.0,0.0,7.0
4.0,1.0,2.0,0.0,0.0,1.0,8.0
4.0,1.0,3.0,0.0,0.0,0.0,3.0
1.0,0.538,4.0,2.0,2.0,0.0,18.0
1.0,0.2,8.0,2.0,0.0,0.0,8.0
2.0,0.429,5.0,3.0,0.0,3.0,6.0
3.0,0.545,4.0,1.0,1.0,0.0,12.0
3.0,0.4,5.0,9.0,2.0,0.0,27.0
4.0,0.833,10.0,1.0,2.0,1.0,11.0
4.0,0.571,2.0,1.0,0.0,0.0,8.0
4.0,0.5,2.0,4.0,1.0,0.0,15.0
4.0,0.0,2.0,0.0,1.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,5.0,3.0,0.0,1.0,19.0
1.0,0.75,9.0,2.0,1.0,1.0,15.0
2.0,0.2,8.0,4.0,3.0,2.0,5.0
3.0,0.375,1.0,2.0,1.0,0.0,8.0
3.0,0.579,3.0,11.0,2.0,0.0,29.0
4.0,0.3,6.0,1.0,0.0,0.0,7.0
4.0,0.421,0.0,2.0,0.0,0.0,19.0
4.0,0.4,5.0,5.0,1.0,0.0,7.0
4.0,1.0,3.0,0.0,0.0,1.0,2.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.4,5.0,2.0,0.0,0.0,4.0
1.0,0.5,3.0,3.0,2.0,2.0,23.0
2.0,0.889,16.0,3.0,3.0,2.0,20.0
3.0,0.636,1.0,4.0,1.0,0.0,20.0
3.0,0.429,4.0,6.0,1.0,0.0,23.0
4.0,0.4,8.0,3.0,1.0,1.0,10.0
4.0,1.0,1.0,5.0,0.0,1.0,5.0
4.0,0.333,3.0,2.0,1.0,0.0,8.0
4.0,0.714,2.0,1.0,0.0,0.0,11.0
4.0,0.0,1.0,1.0,1.0,1.0,0.0
4.0,0.0,0.0,2.0,0.0,0.0,0.0
4.0,1.0,1.0,0.0,0.0,0.0,2.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,1.0,0.0,0.0,0.0,0.0,3.0
1.0,0.3,3.0,2.0,0.0,0.0,8.0
1.0,0.533,15.0,3.0,1.0,0.0,21.0
2.0,0.25,3.0,0.0,1.0,2.0,3.0
3.0,0.45,8.0,7.0,0.0,0.0,22.0
3.0,0.357,3.0,3.0,2.0,0.0,17.0
4.0,0.0,1.0,0.0,1.0,0.0,0.0
4.0,0.125,3.0,1.0,0.0,0.0,2.0
4.0,0.375,3.0,0.0,0.0,1.0,6.0
4.0,0.4,2.0,0.0,1.0,3.0,5.0
4.0,0.0,3.0,0.0,0.0,0.0,0.0
1.0,0.308,6.0,1.0,0.0,0.0,12.0
1.0,0.333,11.0,5.0,0.0,1.0,11.0
2.0,0.5,2.0,0.0,0.0,3.0,2.0
3.0,0.333,3.0,3.0,0.0,0.0,7.0
3.0,0.727,1.0,2.0,0.0,0.0,16.0
4.0,0.0,8.0,3.0,1.0,1.0,2.0
4.0,0.5,5.0,7.0,0.0,0.0,14.0
4.0,0.333,1.0,0.0,0.0,0.0,8.0
4.0,0.4,4.0,0.0,0.0,0.0,4.0
4.0,0.556,5.0,1.0,0.0,0.0,16.0
1.0,0.5,7.0,1.0,0.0,0.0,14.0
1.0,0.25,5.0,1.0,1.0,0.0,7.0
2.0,0.577,16.0,6.0,0.0,2.0,35.0
3.0,0.571,3.0,0.0,1.0,0.0,12.0
3.0,0.615,2.0,8.0,1.0,1.0,17.0
4.0,0.25,1.0,2.0,0.0,1.0,5.0
4.0,0.0,8.0,1.0,0.0,0.0,2.0
4.0,0.25,1.0,0.0,0.0,0.0,2.0
4.0,0.6,2.0,0.0,0.0,1.0,7.0
4.0,0.0,1.0,1.0,1.0,0.0,0.0
1.0,0.75,4.0,0.0,1.0,0.0,8.0
1.0,0.55,11.0,3.0,2.0,1.0,29.0
2.0,0.333,7.0,1.0,0.0,0.0,5.0
3.0,0.571,7.0,4.0,0.0,0.0,19.0
3.0,0.391,8.0,11.0,2.0,1.0,23.0
4.0,0.667,2.0,6.0,1.0,0.0,17.0
4.0,0.4,3.0,2.0,0.0,0.0,5.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.25,2.0,1.0,1.0,0.0,3.0
4.0,1.0,0.0,0.0,0.0,0.0,2.0
1.0,0.545,9.0,0.0,1.0,0.0,14.0
1.0,0.444,3.0,4.0,0.0,0.0,11.0
2.0,0.6,5.0,0.0,0.0,0.0,10.0
3.0,0.462,2.0,1.0,1.0,0.0,15.0
3.0,0.182,2.0,3.0,2.0,2.0,7.0
4.0,0.333,5.0,1.0,1.0,1.0,9.0
4.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,0.2,4.0,0.0,1.0,1.0,2.0
4.0,0.0,0.0,5.0,0.0,0.0,1.0
4.0,0.375,5.0,2.0,0.0,1.0,9.0
4.0,0.5,1.0,1.0,0.0,0.0,7.0
4.0,0.2,1.0,5.0,0.0,0.0,2.0
4.0,0.75,2.0,0.0,0.0,0.0,10.0
